date,open,high,low,close,volume,average,barCount,symbol
2024-06-19 19:45:00-04:00,1.2721,1.27215,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:50:00-04:00,1.2721,1.2722,1.27205,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 19:55:00-04:00,1.27205,1.2721,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 20:00:00-04:00,1.272,1.27205,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 20:05:00-04:00,1.2717,1.2717,1.2715,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 20:10:00-04:00,1.2716,1.2716,1.27145,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 20:15:00-04:00,1.27145,1.2716,1.2714,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 20:20:00-04:00,1.2716,1.2717,1.2715,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 20:25:00-04:00,1.2715,1.2716,1.2714,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 20:30:00-04:00,1.27155,1.27165,1.2715,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 20:35:00-04:00,1.2715,1.2716,1.2715,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 20:40:00-04:00,1.2716,1.27165,1.27155,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 20:45:00-04:00,1.2716,1.27175,1.27155,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 20:50:00-04:00,1.2717,1.2718,1.27155,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 20:55:00-04:00,1.2718,1.27185,1.27155,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 21:00:00-04:00,1.27155,1.2719,1.27155,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 21:05:00-04:00,1.2719,1.27195,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 21:10:00-04:00,1.2717,1.2718,1.2717,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 21:15:00-04:00,1.2718,1.2719,1.27125,1.2713,-1.0,-1.0,-1,GBP
2024-06-19 21:20:00-04:00,1.2713,1.27145,1.27125,1.27135,-1.0,-1.0,-1,GBP
2024-06-19 21:25:00-04:00,1.27135,1.2714,1.2712,1.2712,-1.0,-1.0,-1,GBP
2024-06-19 21:30:00-04:00,1.2712,1.2716,1.27105,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 21:35:00-04:00,1.27155,1.2718,1.2715,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 21:40:00-04:00,1.2717,1.27175,1.27155,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 21:45:00-04:00,1.27155,1.2716,1.27145,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 21:50:00-04:00,1.2716,1.2716,1.27145,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 21:55:00-04:00,1.2716,1.2717,1.2715,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 22:00:00-04:00,1.2716,1.2716,1.27145,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 22:05:00-04:00,1.2715,1.2716,1.27145,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 22:10:00-04:00,1.2715,1.2715,1.2712,1.2712,-1.0,-1.0,-1,GBP
2024-06-19 22:15:00-04:00,1.2712,1.2713,1.27115,1.2713,-1.0,-1.0,-1,GBP
2024-06-19 22:20:00-04:00,1.2713,1.2714,1.2713,1.2714,-1.0,-1.0,-1,GBP
2024-06-19 22:25:00-04:00,1.2714,1.2715,1.2714,1.2714,-1.0,-1.0,-1,GBP
2024-06-19 22:30:00-04:00,1.2714,1.2714,1.27115,1.27115,-1.0,-1.0,-1,GBP
2024-06-19 22:35:00-04:00,1.27115,1.2712,1.2711,1.2711,-1.0,-1.0,-1,GBP
2024-06-19 22:40:00-04:00,1.2711,1.2712,1.271,1.2712,-1.0,-1.0,-1,GBP
2024-06-19 22:45:00-04:00,1.2712,1.2713,1.27115,1.2713,-1.0,-1.0,-1,GBP
2024-06-19 22:50:00-04:00,1.2713,1.2713,1.2712,1.2712,-1.0,-1.0,-1,GBP
2024-06-19 22:55:00-04:00,1.2712,1.2713,1.2712,1.27125,-1.0,-1.0,-1,GBP
2024-06-19 23:00:00-04:00,1.27125,1.2713,1.27125,1.2713,-1.0,-1.0,-1,GBP
2024-06-19 23:05:00-04:00,1.2713,1.27145,1.2713,1.2713,-1.0,-1.0,-1,GBP
2024-06-19 23:10:00-04:00,1.2713,1.2715,1.2713,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 23:15:00-04:00,1.2715,1.2715,1.2714,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 23:20:00-04:00,1.2715,1.2715,1.2714,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 23:25:00-04:00,1.2715,1.2715,1.2715,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 23:30:00-04:00,1.2715,1.2715,1.27135,1.27135,-1.0,-1.0,-1,GBP
2024-06-19 23:35:00-04:00,1.27135,1.2714,1.2713,1.2713,-1.0,-1.0,-1,GBP
